  2.5000001E-04   250.0000             122
         122
  2.5000001E-04  4.7315799E-02
  3.7500000E-04  6.1629001E-02
  5.0000002E-04  7.4339204E-02
  6.2499999E-04  8.5976802E-02
  7.5000001E-04  9.6824795E-02
  1.0000000E-03  0.1167900    
  1.2500000E-03  0.1350680    
  1.5000000E-03  0.1521040    
  1.7500001E-03  0.1681690    
  2.0000001E-03  0.1834470    
  2.2499999E-03  0.1980670    
  2.4999999E-03  0.2121260    
  3.1250000E-03  0.2452610    
  3.7499999E-03  0.2761080    
  4.3750000E-03  0.3051570    
  4.9999999E-03  0.3327370    
  5.6250002E-03  0.3590790    
  6.2500001E-03  0.3843540    
  6.8750000E-03  0.4086920    
  7.4999998E-03  0.4321950    
  8.7500000E-03  0.4770080    
  9.9999998E-03  0.5192820    
  1.1250000E-02  0.5593620    
  1.2500000E-02  0.5974960    
  1.3750000E-02  0.6338700    
  1.5000000E-02  0.6686291    
  1.6249999E-02  0.7018900    
  1.7500000E-02  0.7337450    
  1.8750001E-02  0.7642760    
  2.0000000E-02  0.7935480    
  2.1250000E-02  0.8216200    
  2.2500001E-02  0.8485450    
  2.3750000E-02  0.8743690    
  2.5000000E-02  0.8991340    
  3.1250000E-02   1.008450    
  3.7500001E-02   1.096720    
  4.3749999E-02   1.167710    
  5.0000001E-02   1.224650    
  5.6249999E-02   1.270230    
  6.2500000E-02   1.306650    
  6.8750001E-02   1.335630    
  7.5000003E-02   1.358540    
  8.7499999E-02   1.390250    
  0.1000000       1.408050    
  0.1125000       1.416040    
  0.1250000       1.417060    
  0.1375000       1.413070    
  0.1500000       1.405490    
  0.1625000       1.395310    
  0.1750000       1.383290    
  0.1875000       1.369960    
  0.2000000       1.355710    
  0.2125000       1.340850    
  0.2250000       1.325600    
  0.2375000       1.310130    
  0.2500000       1.294540    
  0.3125000       1.217790    
  0.3750000       1.146190    
  0.4375000       1.081140    
  0.5000000       1.022510    
  0.5625000      0.9705570    
  0.6250000      0.9238960    
  0.6875000      0.8814220    
  0.7500000      0.8424380    
  0.8750000      0.7730960    
   1.000000      0.7131280    
   1.125000      0.6612420    
   1.250000      0.6173790    
   1.375000      0.5797180    
   1.500000      0.5469920    
   1.625000      0.5182300    
   1.750000      0.4927380    
   1.875000      0.4699510    
   2.000000      0.4494540    
   2.125000      0.4308990    
   2.250000      0.4140270    
   2.375000      0.3985970    
   2.500000      0.3844300    
   3.125000      0.3278170    
   3.750000      0.2872380    
   4.375000      0.2565470    
   5.000000      0.2324920    
   5.625000      0.2129780    
   6.250000      0.1968240    
   6.875000      0.1831980    
   7.500000      0.1715360    
   8.750000      0.1525570    
   10.00000      0.1377270    
   11.25000      0.1257850    
   12.50000      0.1159420    
   13.75000      0.1076750    
   15.00000      0.1006270    
   16.25000      9.4536006E-02
   17.50000      8.9217104E-02
   18.75000      8.4525898E-02
   20.00000      8.0356099E-02
   21.25000      7.6623000E-02
   22.50000      7.3259398E-02
   23.75000      7.0211798E-02
   25.00000      6.7438006E-02
   31.25000      5.6591898E-02
   37.50000      4.9053002E-02
   43.75000      4.3488700E-02
   50.00000      3.9202400E-02
   56.25000      3.5796102E-02
   62.50000      3.3016700E-02
   68.75000      3.0704800E-02
   75.00000      2.8750200E-02
   87.50000      2.5622299E-02
   100.0000      2.3226701E-02
   112.5000      2.1331301E-02
   125.0000      1.9793101E-02
   137.5000      1.8519199E-02
   150.0000      1.7446699E-02
   162.5000      1.6531099E-02
   175.0000      1.5740400E-02
   187.5000      1.5050600E-02
   200.0000      1.4443600E-02
   212.5000      1.3905500E-02
   225.0000      1.3425200E-02
   237.5000      1.2993900E-02
   250.0000      1.2604700E-02
