0.025 1000 53
53
0.025  3.58595    0.310404
0.03  3.87693    0.360981
0.04  4.6557    0.486359
0.05  5.37071    0.613434
0.06  5.952    0.73126
0.07  6.35978    0.831054
0.08  6.90279    0.951499
0.09  7.31346    1.05674
0.1  7.66375    1.15502
0.15  9.11963    1.61645
0.2  9.97624    1.98393
0.25  10.5724    2.29878
0.3  10.9655    2.56463
0.4  11.5082    3.0198
0.5  11.7861    3.38147
0.6  11.8543    3.65835
0.7  11.8097    3.87637
0.8  11.7132    4.05562
0.9  11.5472    4.19104
1  11.4556    4.33676
1.5  10.5515    4.69783
2  9.75165    4.87122
2.5  9.04493    4.94002
3  8.44645    4.96216
4  7.47823    4.92914
5  6.70355    4.83104
6  6.10112    4.72953
7  5.58945    4.60846
8  5.16185    4.48941
9  4.80489    4.38055
10  4.49969    4.27889
15  3.41736    3.82187
20  2.77429    3.48106
25  2.35266    3.22762
30  2.05137    3.02719
40  1.64538    2.7242
50  1.38664    2.51016
60  1.20708    2.35041
70  1.07487    2.22609
80  0.972788    2.12521
90  0.891189    2.04087
100  0.826457    1.97409
150  0.619773    1.74107
200  0.514785    1.6225
250  0.450539    1.55259
300  0.406353    1.50626
400  0.351379    1.46133
500  0.318582    1.44863
600  0.297458    1.45491
700  0.282793    1.47115
800  0.272639    1.49614
900  0.264791    1.52317
1000  0.258963    1.55376
