0.025 1000 53
53
0.025  3.5077    0.295379
0.03  3.93735    0.356643
0.04  4.54194    0.461579
0.05  5.24845    0.583177
0.06  5.94984    0.711126
0.07  6.55466    0.833241
0.08  6.98952    0.93727
0.09  7.49292    1.05324
0.1  7.86884    1.1537
0.15  9.33149    1.60905
0.2  10.1357    1.96087
0.25  10.668    2.25653
0.3  11.0747    2.51978
0.4  11.5537    2.94935
0.5  11.7989    3.29314
0.6  11.8971    3.57175
0.7  11.8411    3.78104
0.8  11.7912    3.97168
0.9  11.6443    4.11141
1  11.5345    4.24794
1.5  10.6739    4.62316
2  9.88149    4.80193
2.5  9.18147    4.87831
3  8.58661    4.9074
4  7.60328    4.87535
5  6.81911    4.78076
6  6.21686    4.68827
7  5.68424    4.55924
8  5.25755    4.44837
9  4.90154    4.34721
10  4.58533    4.24181
15  3.48654    3.79326
20  2.83675    3.46269
25  2.40569    3.21068
30  2.09563    3.00845
40  1.68322    2.7111
50  1.42053    2.50161
60  1.23614    2.34158
70  1.09999    2.2162
80  0.996315    2.11745
90  0.913897    2.03599
100  0.846379    1.96673
150  0.635901    1.73783
200  0.527856    1.61848
250  0.461579    1.5474
300  0.417062    1.50394
400  0.360642    1.45909
500  0.326906    1.44608
600  0.305515    1.4537
700  0.290297    1.46914
800  0.279907    1.49428
900  0.271875    1.52141
1000  0.266134    1.55339
