0.025 1000 53
53
0.025  1.07079    0.178624
0.03  1.1773    0.211251
0.04  1.38823    0.279477
0.05  1.5967    0.351458
0.06  1.79803    0.425715
0.07  2.02035    0.508775
0.08  2.21404    0.588144
0.09  2.44262    0.680164
0.1  2.63452    0.765178
0.15  3.35845    1.14719
0.2  3.83556    1.46995
0.25  4.17483    1.74935
0.3  4.39879    1.98263
0.4  4.70977    2.38169
0.5  4.88643    2.70172
0.6  4.99652    2.97159
0.7  5.06859    3.20617
0.8  5.12213    3.41781
0.9  5.14125    3.59606
1  5.14441    3.75316
1.5  5.00477    4.2942
2  4.76341    4.58554
2.5  4.54339    4.78208
3  4.31788    4.88855
4  3.93708    5.00103
5  3.61147    5.01571
6  3.3405    4.99038
7  3.10646    4.93589
8  2.89759    4.85662
9  2.71891    4.77698
10  2.57373    4.71654
15  2.01448    4.3417
20  1.66749    4.03214
25  1.43204    3.7861
30  1.26415    3.59508
40  1.03125    3.29042
50  0.879456    3.06806
60  0.771946    2.89673
70  0.69222    2.76277
80  0.629249    2.64923
90  0.580434    2.5616
100  0.539353    2.48276
150  0.41185    2.22965
200  0.344602    2.09311
250  0.302589    2.00951
300  0.274552    1.96125
400  0.23919    1.91703
500  0.218123    1.91139
600  0.204616    1.92868
700  0.195208    1.95703
800  0.188605    1.99458
900  0.183779    2.03729
1000  0.180074    2.08215
