0.025 1000 53
53
0.025  6.72469    0.461754
0.03  7.39025    0.545846
0.04  8.85518    0.73381
0.05  10.2038    0.924515
0.06  11.3409    1.10528
0.07  12.2341    1.26816
0.08  13.0298    1.42474
0.09  13.7983    1.58155
0.1  14.4565    1.72832
0.15  16.3439    2.29803
0.2  17.1598    2.707
0.25  17.4968    3.01785
0.3  17.5265    3.25166
0.4  17.3575    3.61304
0.5  17.1706    3.90784
0.6  16.8481    4.12453
0.7  16.4725    4.28905
0.8  16.1378    4.43245
0.9  15.7812    4.54358
1  15.4316    4.63419
1.5  13.7485    4.85573
2  12.344    4.89138
2.5  11.4265    4.95052
3  10.6719    4.97341
4  9.24103    4.83177
5  8.23044    4.70515
6  7.47133    4.59431
7  6.80218    4.44887
8  6.26029    4.3191
9  5.8163    4.20636
10  5.43045    4.09636
15  4.08459    3.62366
20  3.30007    3.28471
25  2.78384    3.02959
30  2.41747    2.8299
40  1.92936    2.53396
50  1.61979    2.326
60  1.40506    2.17029
70  1.24658    2.04796
80  1.12441    1.94861
90  1.02979    1.87072
100  0.951995    1.80384
150  0.710997    1.58441
200  0.585592    1.46409
250  0.5092    1.39196
300  0.458319    1.34765
400  0.393821    1.29923
500  0.355615    1.28271
600  0.330174    1.28105
700  0.312634    1.29014
800  0.299762    1.30489
900  0.290381    1.32503
1000  0.282946    1.34668
