0.025 1000 53
53
0.025  4.50013    0.384069
0.03  4.94179    0.453671
0.04  5.94083    0.611899
0.05  6.72061    0.756842
0.06  7.36397    0.892034
0.07  7.98175    1.02836
0.08  8.36485    1.13685
0.09  8.81416    1.2557
0.1  9.14194    1.35846
0.15  10.3324    1.8057
0.2  10.9222    2.14156
0.25  11.2821    2.41867
0.3  11.5261    2.6579
0.4  11.8205    3.05821
0.5  11.9468    3.37948
0.6  11.981    3.64556
0.7  11.9228    3.85857
0.8  11.8442    4.04342
0.9  11.7484    4.20423
1  11.6198    4.33718
1.5  10.81    4.74538
2  9.9946    4.9225
2.5  9.18744    4.94742
3  8.5734    4.96604
4  7.50743    4.87892
5  6.63639    4.71551
6  6.00058    4.5863
7  5.47741    4.4527
8  5.05307    4.33311
9  4.6926    4.21813
10  4.38141    4.10792
15  3.30533    3.64468
20  2.70842    3.35071
25  2.3085    3.12258
30  2.01342    2.92949
40  1.62103    2.6462
50  1.36819    2.44198
60  1.19054    2.28567
70  1.06046    2.16542
80  0.959867    2.06755
90  0.880465    1.98801
100  0.81622    1.92228
150  0.613095    1.69814
200  0.507814    1.57807
250  0.443789    1.50786
300  0.401694    1.46809
400  0.346687    1.42157
500  0.314496    1.40998
600  0.293235    1.41411
700  0.278814    1.43009
800  0.268391    1.45215
900  0.260542    1.47769
1000  0.255262    1.51006
